iter	Passed	Remaining
164	251	1274
165	252	1270
166	253	1265
167	254	1261
168	255	1257
169	257	1259
170	258	1255
171	260	1251
172	261	1247
173	263	1249
174	264	1246
175	265	1244
176	266	1241
177	268	1237
178	269	1234
179	269	1229
180	270	1226
181	273	1228
182	274	1224
183	275	1221
184	276	1218
185	277	1214
186	278	1211
187	279	1207
188	280	1203
189	281	1199
190	281	1194
191	282	1190
192	283	1186
193	284	1183
194	285	1180
195	286	1177
196	288	1173
197	289	1170
198	290	1168
199	291	1164
200	292	1161
201	293	1157
202	293	1154
203	294	1150
204	295	1147
205	296	1144
206	297	1140
207	298	1137
208	299	1134
209	300	1131
210	301	1127
211	302	1124
212	303	1122
213	304	1119
214	305	1117
215	306	1114
216	309	1116
217	310	1113
218	311	1110
219	312	1107
220	314	1110
221	316	1109
222	317	1106
223	318	1103
224	319	1101
225	320	1098
226	321	1095
227	323	1095
228	325	1096
229	327	1097
230	329	1097
231	331	1097
232	333	1098
233	335	1097
234	337	1097
235	339	1098
236	340	1097
237	342	1097
238	344	1097
239	346	1097
240	348	1097
241	350	1097
242	351	1096
243	353	1095
244	355	1095
245	357	1094
246	358	1094
247	360	1094
248	362	1093
249	364	1092
250	365	1091
251	366	1088
252	367	1085
253	368	1083
254	369	1079
255	370	1076
256	371	1074
257	372	1071
258	373	1069
259	374	1066
260	375	1063
261	376	1061
262	377	1058
263	379	1057
264	381	1057
265	383	1057
266	385	1057
267	386	1055
268	389	1059
269	392	1060
270	394	1061
271	396	1061
272	398	1061
273	400	1060
274	402	1060
275	404	1061
276	406	1060
277	409	1063
278	413	1068
279	415	1068
280	417	1068
281	419	1068
282	421	1067
283	423	1067
284	425	1066
285	428	1068
286	429	1066
287	430	1063
288	431	1061
289	432	1058
290	433	1056
291	434	1053
292	435	1051
293	436	1048
294	437	1045
295	438	1043
296	439	1040
297	440	1038
298	441	1035
299	442	1033
300	443	1030
301	444	1028
302	446	1025
303	447	1023
304	448	1022
305	449	1019
306	450	1017
307	454	1020
308	455	1018
309	456	1015
310	457	1013
311	458	1011
312	459	1008
313	460	1006
314	461	1003
315	462	1001
316	463	998
317	464	996
318	465	993
319	466	991
320	468	990
321	469	988
322	470	985
323	471	983
324	472	980
325	473	978
326	474	975
327	475	973
328	476	971
329	477	968
330	478	966
331	479	964
332	480	963
333	482	962
334	484	961
335	486	960
336	488	960
337	489	959
338	491	958
339	493	958
340	495	958
341	498	959
342	501	960
343	504	962
344	506	962
345	508	961
346	510	961
347	512	959
348	513	957
349	515	956
350	516	954
351	517	952
352	518	950
353	519	948
354	520	946
355	521	944
356	523	942
357	524	939
358	525	937
359	526	935
360	529	936
361	530	935
362	532	935
363	536	937
364	539	939
365	541	937
366	542	935
367	543	933
368	544	931
369	545	929
370	546	927
371	547	925
372	548	922
373	550	920
374	551	919
375	552	916
376	553	914
377	554	912
378	555	910
379	556	908
380	557	906
381	559	904
382	560	902
383	561	900
384	562	898
385	563	896
386	564	894
387	565	891
388	566	889
389	567	887
390	568	885
391	569	884
392	571	882
393	572	879
394	573	877
395	574	875
396	575	873
397	576	871
398	577	869
399	578	867
400	581	868
401	582	865
402	583	864
403	585	864
404	587	862
405	589	862
406	590	860
407	591	858
408	593	856
409	594	854
410	595	853
411	596	851
412	598	851
413	599	849
414	602	848
415	603	846
416	604	844
417	605	842
418	606	840
419	607	839
420	608	837
421	609	835
422	612	835
423	613	833
424	614	831
425	615	829
426	616	827
427	617	825
428	618	823
429	619	821
430	621	819
431	622	817
432	623	816
433	625	815
434	626	813
435	627	812
436	628	810
437	631	810
438	634	810
439	635	809
440	639	810
441	640	808
442	641	807
443	642	805
444	644	803
445	645	801
446	646	799
447	647	797
448	648	795
449	649	793
450	650	791
451	651	789
452	652	788
453	653	786
454	654	784
455	656	782
456	657	781
457	658	779
458	659	777
459	660	775
460	661	773
461	662	771
462	663	769
463	664	768
464	666	766
465	667	764
466	669	764
467	670	762
468	672	760
469	673	758
470	675	758
471	676	756
472	677	755
473	679	754
474	680	752
475	682	751
476	683	749
477	684	747
478	685	745
479	686	744
480	688	742
481	689	740
482	690	738
483	691	737
484	692	735
485	693	733
486	694	731
487	695	729
488	696	728
489	697	726
490	699	725
491	700	723
492	701	721
493	702	720
494	704	718
495	705	716
496	706	714
497	707	712
498	708	711
499	709	709
500	711	708
501	712	706
502	713	704
503	718	707
504	720	706
505	722	705
506	723	703
507	724	702
508	726	700
509	727	699
510	730	698
511	732	697
512	733	696
513	734	694
514	735	692
515	736	691
516	737	689
517	738	687
518	739	685
519	741	684
520	743	683
521	744	681
522	745	680
523	748	679
524	749	677
525	750	676
526	751	674
527	752	672
528	753	671
529	754	669
530	756	667
531	757	665
532	758	664
533	759	662
534	760	660
535	761	659
536	762	657
537	763	655
538	764	653
539	765	652
540	769	652
541	770	651
542	774	651
543	775	650
544	776	648
545	777	646
546	781	646
547	782	645
548	783	643
549	784	641
550	786	640
551	788	639
552	789	638
553	790	636
554	791	634
555	792	633
556	794	631
557	795	630
558	796	628
559	797	626
560	798	624
561	799	623
562	800	621
563	801	619
564	803	618
565	805	617
566	806	615
567	808	614
568	809	612
569	810	611
570	811	609
571	812	608
572	814	606
573	815	605
574	816	603
575	818	602
576	821	602
577	823	601
578	824	599
579	825	598
580	827	596
581	828	594
582	829	593
583	830	591
584	831	589
585	832	588
586	833	586
587	834	584
588	835	583
589	836	581
590	837	579
591	839	578
592	840	576
593	841	574
594	842	573
595	843	571
596	844	570
597	845	568
598	846	566
599	847	565
600	848	563
601	849	561
602	850	560
603	852	558
604	853	557
605	854	555
606	855	553
607	856	552
608	857	550
609	858	549
610	859	547
611	862	546
612	863	545
613	865	544
614	866	542
615	867	540
616	869	539
617	872	539
618	873	537
619	875	536
620	876	534
621	877	533
622	878	531
623	879	530
624	880	528
625	881	526
626	883	525
627	884	523
628	885	522
629	886	520
630	887	518
631	888	517
632	889	515
633	890	514
634	891	512
635	892	511
636	893	509
637	894	507
638	896	506
639	897	504
640	898	503
641	899	501
642	900	499
643	901	498
644	907	499
645	908	498
646	910	496
647	911	494
648	913	494
649	914	492
650	916	491
651	917	489
652	918	487
653	919	486
654	920	484
655	921	483
656	922	481
657	923	480
658	924	478
659	925	476
660	926	475
661	928	473
662	929	472
663	930	470
664	931	469
665	932	467
666	933	466
667	934	464
668	935	462
669	936	461
670	937	459
671	938	458
672	940	456
673	941	455
674	942	453
675	943	452
676	944	450
677	945	449
678	946	447
679	947	445
680	948	444
681	949	442
682	950	441
683	952	439
684	954	438
685	955	437
686	956	435
687	957	434
688	958	432
689	960	431
690	961	429
691	963	428
692	964	427
693	966	426
694	967	424
695	969	423
696	970	422
697	971	420
698	973	419
699	974	417
700	975	416
701	976	414
702	977	412
703	978	411
704	979	409
705	980	408
706	981	406
707	982	405
708	984	403
709	985	402
710	986	400
711	987	399
712	988	397
713	989	396
714	990	394
715	991	393
716	992	391
717	993	390
718	995	388
719	996	387
720	997	385
721	998	384
722	999	382
723	1000	381
724	1001	379
725	1002	378
726	1003	376
727	1004	375
728	1006	373
729	1009	373
730	1011	372
731	1012	370
732	1013	369
733	1014	367
734	1016	366
735	1017	364
736	1019	363
737	1020	362
738	1021	360
739	1023	359
740	1024	357
741	1025	356
742	1026	354
743	1027	353
744	1028	352
745	1029	350
746	1030	349
747	1031	347
748	1032	346
749	1034	344
750	1035	343
751	1036	341
752	1037	340
753	1038	338
754	1039	337
755	1040	335
756	1041	334
757	1042	332
758	1043	331
759	1044	329
760	1046	328
761	1047	327
762	1048	325
763	1051	324
764	1052	323
765	1053	321
766	1056	320
767	1057	319
768	1058	318
769	1059	316
770	1062	315
771	1063	314
772	1065	312
773	1066	311
774	1067	309
775	1068	308
776	1069	306
777	1070	305
778	1071	304
779	1072	302
780	1073	301
781	1074	299
782	1075	298
783	1077	296
784	1078	295
785	1079	293
786	1080	292
787	1081	290
788	1082	289
789	1083	288
790	1084	286
791	1086	285
792	1087	283
793	1088	282
794	1089	280
795	1090	279
796	1091	277
797	1092	276
798	1093	275
799	1094	273
800	1095	272
801	1096	270
802	1099	269
803	1100	268
804	1102	266
805	1103	265
806	1104	264
807	1105	262
808	1106	261
809	1107	259
810	1109	258
811	1111	257
812	1114	256
813	1115	254
814	1116	253
815	1117	252
816	1119	250
817	1121	249
818	1122	247
819	1123	246
820	1124	245
821	1125	243
822	1126	242
823	1127	240
824	1128	239
825	1129	237
826	1131	236
827	1132	235
828	1133	233
829	1134	232
830	1135	230
831	1136	229
832	1137	228
833	1138	226
834	1139	225
835	1140	223
836	1142	222
837	1143	221
838	1144	219
839	1145	218
840	1146	216
841	1147	215
842	1148	213
843	1149	212
844	1150	211
845	1153	209
846	1154	208
847	1155	207
848	1156	205
849	1160	204
850	1162	203
851	1163	202
852	1165	200
853	1166	199
854	1167	198
855	1168	196
856	1170	195
857	1172	194
858	1174	192
859	1175	191
860	1177	190
861	1179	188
862	1181	187
863	1183	186
864	1185	184
865	1186	183
866	1188	182
867	1190	181
868	1192	179
869	1194	178
870	1195	177
871	1197	175
872	1198	174
873	1199	172
874	1200	171
875	1201	170
876	1202	168
877	1203	167
878	1204	165
879	1205	164
880	1206	162
881	1207	161
882	1208	160
883	1210	158
884	1211	157
885	1213	156
886	1214	154
887	1215	153
888	1217	152
889	1219	150
890	1220	149
891	1221	147
892	1222	146
893	1223	145
894	1225	143
895	1226	142
896	1227	140
897	1228	139
898	1230	138
899	1231	136
900	1232	135
901	1233	134
902	1235	132
903	1236	131
904	1237	129
905	1238	128
906	1240	127
907	1241	125
908	1242	124
909	1243	122
910	1244	121
911	1245	120
912	1246	118
913	1247	117
914	1248	116
915	1249	114
916	1253	113
917	1254	112
918	1255	110
919	1256	109
920	1258	107
921	1260	106
922	1261	105
923	1263	103
924	1265	102
925	1266	101
926	1267	99
927	1268	98
928	1270	97
929	1271	95
930	1272	94
931	1273	92
932	1275	91
933	1276	90
934	1277	88
935	1278	87
936	1279	86
937	1281	84
938	1282	83
939	1283	81
940	1284	80
941	1285	79
942	1286	77
943	1288	76
944	1289	75
945	1290	73
946	1291	72
947	1292	70
948	1293	69
949	1294	68
950	1295	66
951	1298	65
952	1299	64
953	1302	62
954	1303	61
955	1304	60
956	1305	58
957	1307	57
958	1308	55
959	1309	54
960	1310	53
961	1311	51
962	1312	50
963	1314	49
964	1315	47
965	1316	46
966	1317	44
967	1318	43
968	1319	42
969	1320	40
970	1321	39
971	1322	38
972	1323	36
973	1325	35
974	1326	34
975	1327	32
976	1328	31
977	1329	29
978	1330	28
979	1331	27
980	1332	25
981	1334	24
982	1335	23
983	1336	21
984	1337	20
985	1338	19
986	1339	17
987	1340	16
988	1341	14
989	1342	13
990	1344	12
991	1347	10
992	1348	9
993	1351	8
994	1352	6
995	1354	5
996	1356	4
997	1357	2
998	1358	1
999	1360	0
